index	tax_id	name_txt	미생물	rank	lineage_path	division_name	구분	기타
								
0	1578	Lactobacillus	락토바실러스	genus	1;131567;2;1783272;1239;91061;186826;33958;1578	Bacteria	유익균	
1	47770	Lactobacillus crispatus	크리스파투스 락토바실러스	species	1;131567;2;1783272;1239;91061;186826;33958;1578;47770	Bacteria	유익균	
2	1596	Lactobacillus gasseri	가세리 락토바실러스	species	1;131567;2;1783272;1239;91061;186826;33958;1578;1596	Bacteria	유익균	
3	147802	Lactobacillus iners	이네르스 락토바실러스	species	1;131567;2;1783272;1239;91061;186826;33958;1578;147802	Bacteria	유익균	
4	109790	Lactobacillus jensenii	옌세니이 락토바실러스	species	1;131567;2;1783272;1239;91061;186826;33958;1578;109790	Bacteria	유익균	
5	2701	Gardnerella	가드네렐라균	genus	1;131567;2;1783272;201174;1760;85004;31953;2701	Bacteria	혐기성	
6	2702	Gardnerella vaginalis	가드네렐라 바지날리스	species	1;131567;2;1783272;201174;1760;85004;31953;2701;2702	Bacteria	혐기성	
7	838	Prevotella	프레보텔라균	genus	1;131567;2;3379134;1783270;68336;976;200643;171549;171552;838	Bacteria	혐기성	
8	28125	Prevotella bivia	프레보텔라 비비아	species	1;131567;2;3379134;1783270;68336;976;200643;171549;171552;838;28125	Bacteria	혐기성	
9	28132	Prevotella melaninogenica	프레보텔라 멜라닌로게니카	species	1;131567;2;3379134;1783270;68336;976;200643;171549;171552;838;28132	Bacteria	혐기성	
10	1380	Atopobium	아토포비움균	genus	1;131567;2;1783272;201174;84998;84999;1643824;1380	Bacteria	혐기성	
		Fannyhessea	패니헤세아	genus			혐기성	
11	82135	Fannyhessea vaginae	패니헤세아 바지나이	species	1;131567;2;1783272;201174;84998;84999;1643824;2767327;82135	Bacteria	혐기성	
12	2050	Mobiluncus	모빌룬쿠스균	genus	1;131567;2;1783272;201174;1760;2037;2049;2050	Bacteria	혐기성	
13	561	Escherichia	대장균속	genus	1;131567;2;3379134;1224;1236;91347;543;561	Bacteria	호기성	
14	562	Escherichia coli	대장균	species	1;131567;2;3379134;1224;1236;91347;543;561;562	Bacteria	호기성	대장균
15	1350	Enterococcus	장구균속	genus	1;131567;2;1783272;1239;91061;186826;81852;1350	Bacteria	호기성	
16	1279	Staphylococcus	포도상구균속	genus	1;131567;2;1783272;1239;91061;1385;90964;1279	Bacteria	호기성	
17	1280	Staphylococcus aureus	황색포도상구균	species	1;131567;2;1783272;1239;91061;1385;90964;1279;1280	Bacteria	호기성	황색포도상구균
18	1282	Staphylococcus epidermidis	표피포도상구균	species	1;131567;2;1783272;1239;91061;1385;90964;1279;1282	Bacteria	호기성	
19	29385	Staphylococcus saprophyticus	부생포도상구균	species	1;131567;2;1783272;1239;91061;1385;90964;1279;29385	Bacteria	호기성	
20	1301	Streptococcus	연쇄상구균속	genus	1;131567;2;1783272;1239;91061;186826;1300;1301	Bacteria	호기성	
21	1311	Streptococcus agalactiae	B군 연쇄상구균	species	1;131567;2;1783272;1239;91061;186826;1300;1301;1311	Bacteria	호기성	B군 연쇄상구균
22	1678	Bifidobacterium	비피도박테리움	genus	1;131567;2;1783272;201174;1760;85004;31953;1678	Bacteria	유익균	
23	906	Megasphaera	메가스페라균	genus	1;131567;2;1783272;1239;909932;1843489;31977;906	Bacteria	혐기성	
24	168808	Sneathia	스니시아균	genus	1;131567;2;3384189;32066;203490;203491;1129771;168808	Bacteria	혐기성	
25	40543	Sneathia sanguinegens	스니시아 상귀네겐스	species	1;131567;2;3384189;32066;203490;203491;1129771;168808;40543	Bacteria	혐기성	
26	29465	Veillonella	베일로넬라균	genus	1;131567;2;1783272;1239;909932;1843489;31977;29465	Bacteria	유해균	
27	187328	Veillonella montpellierensis	베일로넬라 몽펠리에렌시스	species	1;131567;2;1783272;1239;909932;1843489;31977;29465;187328	Bacteria	유해균	
28	84111	Eggerthella	에거텔라균	genus	1;131567;2;1783272;201174;84998;1643822;1643826;84111	Bacteria	유해균	
29	848	Fusobacterium	퓨소박테리움균	genus	1;131567;2;3384189;32066;203490;203491;203492;848	Bacteria	유해균	
30	543311	Parvimonas	파르비모나스균	genus	1;131567;2;1783272;1239;1737404;1737405;1570339;543311	Bacteria	유해균	
